번호,종목코드,종목명,시장구분,증권구분,주식종류,상장일,폐지일,폐지사유,정리매매기간_시작일,정리매매기간_종료일,업종,액면가,상장주식수,이전상장후_종목코드,이전상장후_종목명
"625","058900","투미비티","KOSDAQ","주권","보통주","2004/10/29","2010/10/12","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2010/10/01","2010/10/11","소프트웨어","500","3500938",,
"626","055250","다휘","KOSDAQ","주권","보통주","2001/12/06","2010/10/01","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2010/09/17","2010/09/30","기계·장비","100","169657735",,
"627","035400","브이에스에스티","KOSDAQ","주권","보통주","1999/08/27","2010/10/01","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정","2010/09/17","2010/09/30","정보기기","500","37492032",,
"628","035405","브이에스에스티우","KOSDAQ","주권","신형우선주","2003/09/23","2010/10/01","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정","2010/09/17","2010/09/30","정보기기","500","26000",,
"629","033030","지오엠씨","KOSDAQ","주권","보통주","1997/08/18","2010/09/25","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2010/09/13","2010/09/24","일반전기전자","500","68111736",,
"630","041450","인네트","KOSDAQ","주권","보통주","2000/07/20","2010/09/14","최종부도 발생","2010/09/03","2010/09/13","컴퓨터서비스","1000","6593182",,
"631","089240","네오세미테크","KOSDAQ","주권","보통주","2006/12/22","2010/09/03","감사의견거절(감사범위 제한)","2010/08/25","2010/09/02","정보기기","500","48031839",,
"632","058690","퓨쳐인포넷","KOSDAQ","주권","보통주","2003/12/29","2010/08/26","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정","2010/08/17","2010/08/25","컴퓨터서비스","500","10764193",,
"633","041550","쎄라텍","KOSDAQ","주권","보통주","2000/07/11","2010/08/25","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2010/08/16","2010/08/24","IT부품","500","47961081",,
"634","012580","톰보이","KOSPI","주권","보통주","1988/09/01","2010/07/30","최종부도발생","2010/07/21","2010/07/29","섬유의복","500","69623750",,
"635","018890","모라리소스","KOSDAQ","주권","보통주","1992/12/18","2010/07/22","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의  건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2010/07/13","2010/07/21","화학","500","5131481",,
"636","011050","케드콤","KOSPI","주권","보통주","1988/09/01","2010/07/22","감사의견 의견거절","2010/07/13","2010/07/21","전기전자","500","7304292",,
"637","047710","액티투오","KOSDAQ","주권","보통주","2001/07/20","2010/07/21","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2010/07/12","2010/07/20","통신장비","500","26483756",,
"638","033920","무학","KOSDAQ","주권","보통주","1998/07/27","2010/07/20","유가증권시장 상장",,,"음식료품","200","26212561","033920","무학"
"639","035830","메카포럼","KOSDAQ","주권","보통주","1999/12/03","2010/07/16","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2010/07/07","2010/07/15","오락·문화","500","50947079",,
"640","114410","현대푸드","KOSPI","주권","보통주","2009/12/17","2010/07/16","해산 사유 발생",,,"서비스업","500","17144000",,
"641","027840","고덴시","KOSPI","주권","보통주","1997/11/25","2010/07/14","해산 사유 발생",,,"전기전자","500","23065935",,
"642","036850","나리지*온","KOSDAQ","주권","보통주","1999/11/25","2010/07/14","피흡수합병",,,"반도체","500","16804203",,
"643","084240","동북아15호","KOSPI","선박투자회사","보통주","2005/08/12","2010/07/13","신청에 의한 상장폐지",,,"서비스업","5000","1909057",,
"644","004147","동방전환상환2우B","KOSPI","주권","신형우선주","2007/07/13","2010/06/29","종목별 상장폐지신청",,,"운수창고업","1000","834720","004140","동방"
"645","066300","샤인시스템","KOSDAQ","주권","보통주","2002/09/25","2010/06/29","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2010/06/18","2010/06/28","화학","500","24532217",,
"646","066930","에스디","KOSDAQ","주권","보통주","2003/01/24","2010/06/29","상장폐지신청('10.06.01)","2010/06/18","2010/06/28","제약","500","8000000",,
"647","068770","선우중공업","KOSDAQ","주권","보통주","2005/05/20","2010/06/17","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2010/06/08","2010/06/16","기계·장비","500","2369473",,
"648","023670","알이엔","KOSDAQ","주권","보통주","2001/01/11","2010/06/17","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정","2010/06/08","2010/06/16","일반전기전자","500","24006119",,
"649","071057","한국금융지주2우B","KOSPI","주권","신형우선주","2003/07/21","2010/06/04","존속기간 만료",,,"기타금융","5000","2849787","071050","한국금융지주"
"650","011400","케이씨오에너지","KOSPI","주권","보통주","1991/02/12","2010/05/20","최종부도발생","2010/05/11","2010/05/19","운수장비","500","150979654",,
"651","067850","바이나믹","KOSDAQ","주권","보통주","2005/10/05","2010/05/19","당해 코스닥시장상장법인의 계속성 및 경영의 투명성 등을 종합적으로 고려한 결과 상장폐지기준에 해당한다고 결정","2010/05/10","2010/05/18","오락·문화","500","50234581",,
"652","007490","태창기업","KOSPI","주권","보통주","1976/12/28","2010/05/13","감사의견 의견거절","2010/05/03","2010/05/12","섬유의복","500","32896850",,
"653","018410","현대금속","KOSPI","주권","보통주","1989/07/25","2010/05/13","감사의견 의견거절","2010/05/03","2010/05/12","유통업","500","49867601",,
"654","018417","현대금속2우B","KOSPI","주권","신형우선주","2002/02/06","2010/05/13","감사의견 의견거절","2010/05/03","2010/05/12","유통업","500","159342",,
"655","018415","현대금속우","KOSPI","주권","구형우선주","1989/12/02","2010/05/13","감사의견 의견거절","2010/05/03","2010/05/12","유통업","500","1134",,
"656","085990","단성일렉트론","KOSDAQ","주권","보통주","2006/05/23","2010/05/08","감사의견거절(감사범위제한)","2010/04/28","2010/05/07","반도체","500","82139027",,
"657","041320","보홍","KOSDAQ","주권","보통주","2000/08/08","2010/05/08","감사의견거절(감사범위제한)","2010/04/28","2010/05/07","유통","500","13273123",,
"658","030390","쏠라엔텍","KOSDAQ","주권","보통주","1997/02/12","2010/05/08","감사의견거절(감사범위제한 및 계속기업 존속 불확실)","2010/04/28","2010/05/07","유통","500","39517151",,
"659","074140","엑스로드","KOSDAQ","주권","보통주","2006/08/01","2010/05/08","감사범위제한으로 인한 의견거절","2010/04/28","2010/05/07","컴퓨터서비스","500","36602974",,
"660","053470","오페스","KOSDAQ","주권","보통주","2001/07/31","2010/05/08","감사범위제한으로 인한 감사의견 거절","2010/04/28","2010/05/07","통신장비","500","63631801",,
"661","041630","인젠","KOSDAQ","주권","보통주","2002/01/15","2010/05/08","감사범위제한으로 인한 의견거절","2010/04/28","2010/05/07","소프트웨어","500","88389541",,
"662","057100","하이스마텍","KOSDAQ","주권","보통주","2002/11/15","2010/05/08","감사의견거절(감사범위제한)","2010/04/28","2010/05/07","소프트웨어","500","35292775",,
"663","058480","해원에스티","KOSDAQ","주권","보통주","2002/01/15","2010/05/08","감사범위제한으로 인한 감사의견거절","2010/04/28","2010/05/07","금속","500","30395889",,
"664","041030","이루넷","KOSDAQ","주권","보통주","2000/05/30","2010/05/05","감사범위제한으로 인한 감사의견 거절","2010/04/26","2010/05/04","기타서비스","500","26562599",,
"665","065410","지엔텍홀딩스","KOSDAQ","주권","보통주","2002/08/01","2010/05/05","감사의견거절(감사범위제한 및 계속기업 존속 불확실)","2010/04/26","2010/05/04","기계·장비","500","24010371",,
"666","012090","성원건설","KOSPI","주권","보통주","1991/02/22","2010/05/03","감사의견 의견거절","2010/04/22","2010/04/30","건설업","5000","44798281",,
"667","012095","성원건설우","KOSPI","주권","구형우선주","1994/11/22","2010/05/03","감사의견 의견거절","2010/04/22","2010/04/30","건설업","5000","661514",,
"668","024870","유성티에스아이","KOSPI","주권","보통주","1997/08/27","2010/05/03","감사의견 의견거절","2010/04/22","2010/04/30","기계","500","16579469",,
"669","069470","제로원인터랙티브","KOSPI","주권","보통주","2002/11/11","2010/05/03","감사의견 의견거절","2010/04/22","2010/04/30","서비스업","500","13263451",,
"670","035710","CL","KOSDAQ","주권","보통주","1999/11/11","2010/05/01","감사범위제한으로 인한 감사의견거절","2010/04/22","2010/04/30","유통","500","30723831",,
"671","037110","JS","KOSDAQ","주권","보통주","2000/07/11","2010/05/01","감사의견거절(감사범위제한)","2010/04/22","2010/04/30","컴퓨터서비스","500","4217054",,
"672","078670","아구스","KOSDAQ","주권","보통주","2007/07/27","2010/05/01","감사의견거절(감사범위제한 및 계속기업 존속 불확실)","2010/04/22","2010/04/30","통신장비","500","13907346",,
"673","020070","에버리소스","KOSDAQ","주권","보통주","1994/12/29","2010/05/01","감사범위제한 및 계속기업존속능력에 대한 불확실성으로 인한 감사의견거절","2010/04/22","2010/04/30","유통","100","302694620",,
"674","020075","에버리소스우","KOSDAQ","주권","신형우선주","1994/12/29","2010/05/01","감사범위제한 및 계속기업존속능력에 대한 불확실성으로 인한 감사의견거절","2010/04/22","2010/04/30","유통","100","20000",,
"675","031440","신세계푸드","KOSDAQ","주권","보통주","2001/07/31","2010/04/29","유가증권시장 상장",,,"서비스업","5000","3428600","031440","신세계푸드"
"676","002540","고제","KOSPI","주권","보통주","1989/10/12","2010/04/23","감사의견 의견거절","2010/04/14","2010/04/22","화학","500","11411390",,
"677","076090","테이크시스템","KOSDAQ","주권","보통주","2005/07/26","2010/04/23","감사의견거절(감사범위제한)","2010/04/14","2010/04/22","기계·장비","500","13705681",,
"678","045290","포네이처","KOSDAQ","주권","보통주","2004/01/06","2010/04/23","사업보고서 법정제출기한 익일부터 10일이내 미제출","2010/04/14","2010/04/22","유통","500","30630938",,
"679","033190","폴켐","KOSDAQ","주권","보통주","1997/11/10","2010/04/23","사업보고서 법정제출기한 익일부터 10일이내 미제출","2010/04/14","2010/04/22","화학","500","12926510",,
"680","012420","메리츠종금","KOSPI","주권","보통주","1994/09/16","2010/04/21","해산 사유 발생",,,"기타금융","500","122950720",,
"681","053440","성우몰드","KOSDAQ","주권","보통주","2001/08/21","2010/04/21","상장폐지신청('10.3.29)","2010/04/12","2010/04/20","운송장비·부품","5000","830000",,
"682","048130","에스피코프","KOSDAQ","주권","보통주","2001/11/22","2010/04/20","최종부도 발생","2010/04/09","2010/04/19","유통","500","44764445",,
"683","033260","쌈지","KOSDAQ","주권","보통주","2001/02/01","2010/04/17","최종부도 발생","2010/04/08","2010/04/16","섬유·의류","500","55941473",,
"684","038690","에이스일렉","KOSDAQ","주권","보통주","2000/06/29","2010/04/17","감사의견거절(감사범위제한)","2010/04/08","2010/04/16","IT부품","500","13456926",,
"685","001600","서광건설","KOSPI","주권","보통주","1989/11/16","2010/04/15","자본전액잠식","2010/04/06","2010/04/14","건설업","500","6795730",,
"686","065340","쓰리디월드","KOSDAQ","주권","보통주","2002/09/26","2010/04/15","감사의견거절(감사범위제한)","2010/04/06","2010/04/14","정보기기","500","2105962",,
"687","017300","에이치비이에너지","KOSPI","주권","보통주","1995/11/10","2010/04/15","자본전액잠식","2010/04/06","2010/04/14","전기전자","100","173067672",,
"688","034660","제넥셀","KOSDAQ","주권","보통주","1999/05/14","2010/04/15","감사범위제한으로 인한 감사의견 거절","2010/04/06","2010/04/14","의료·정밀기기","500","79981712",,
"689","004820","조인에너지","KOSPI","주권","보통주","1990/06/04","2010/04/15","자본전액잠식","2010/04/06","2010/04/14","유통업","500","20966570",,
"690","108070","삼성이미징","KOSPI","주권","보통주","2009/03/10","2010/04/14","해산 사유 발생",,,"의료정밀","5000","23870000",,
"691","051810","모보","KOSDAQ","주권","보통주","2001/07/18","2010/04/13","최근 3사업연도 연속 자기자본 50%초과 법인세비용차감전 계속사업손실 등","2010/04/02","2010/04/12","일반전기전자","500","11271000",,
"692","079560","모젬","KOSDAQ","주권","보통주","2005/12/27","2010/04/13","최근 3사업연도 연속 자기자본 대비 50% 초과 법인세 비용차감전계속사업손실 발생","2010/04/02","2010/04/12","IT부품","500","15446649",,
"693","064060","사이노젠","KOSDAQ","주권","보통주","2002/07/30","2010/04/13","자본전액잠식","2010/04/02","2010/04/12","기계·장비","500","8194128",,
"694","046350","에듀아크","KOSDAQ","주권","보통주","2000/08/24","2010/04/13","최근 3사업연도 연속 자기자본 대비 50% 초과 법인세 비용차감전계속사업손실 발생","2010/04/02","2010/04/12","IT부품","500","5987544",,
"695","060670","유퍼트","KOSDAQ","주권","보통주","2003/06/17","2010/04/13","자본전액잠식","2010/04/02","2010/04/12","IT부품","500","4028863",,
"696","032030","일공공일안경","KOSDAQ","주권","보통주","1997/01/23","2010/04/13","자본전액잠식","2010/04/02","2010/04/12","유통","500","27772004",,
"697","015170","중앙바이오텍","KOSDAQ","주권","보통주","2000/08/24","2010/04/13","자본전액잠식","2010/04/02","2010/04/12","제약","500","19593169",,
"698","008340","코레스","KOSDAQ","주권","보통주","1992/12/29","2010/04/13","자본전액잠식","2010/04/02","2010/04/12","금속","1000","5360098",,
"699","045880","유티엑스","KOSDAQ","주권","보통주","2002/02/07","2010/04/10","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정","2010/04/01","2010/04/09","통신장비","500","13906207",,
"700","017050","스타맥스","KOSDAQ","주권","보통주","1994/06/28","2010/04/05","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정 ","2010/03/25","2010/04/02","유통","500","17063300",,
"701","054020","GK파워","KOSDAQ","주권","보통주","2002/05/07","2010/04/03","최종부도","2010/03/25","2010/04/02","정보기기","500","9511281",,
"702","084810","아이알디","KOSDAQ","주권","보통주","2006/06/27","2010/04/01","당해 코스닥시장상장법인의 계속성 및 경영의 투명성 등을 종합적으로 고려한 결과 상장폐지기준에 해당한다고 결정","2010/03/23","2010/03/31","기계·장비","1000","39327052",,
"703","017010","제너비오믹스","KOSDAQ","주권","보통주","2003/01/28","2010/03/26","- 주된 영업이 정지되어 코스닥시장상장규정 제38조제2항제1호(삭제 ‘09.12.2)의 상장폐지기준 해당 / 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려한 결과 코스닥시장상장규정 제38조제2항제5호라목(신설 ‘09.12.2)의 상장폐지기준 해당 ","2010/03/17","2010/03/25","의료·정밀기기","500","62520463",,
"704","004025","현대제철 1우B","KOSPI","주권","신형우선주","2000/04/12","2010/03/22","존속기간 만료",,,"철강금속","5000","416556","004020","현대제철"
"705","008320","한국기술산업","KOSPI","주권","보통주","1989/09/29","2010/03/11","감사의견 의견거절","2010/03/02","2010/03/10","전기전자","500","104477933",,
"706","015050","비전하이테크","KOSDAQ","주권","보통주","1994/01/06","2010/03/09","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정","2010/02/25","2010/03/08","IT부품","500","13061165",,
"707","041800","코디콤","KOSDAQ","주권","보통주","2001/12/13","2010/03/09","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정","2010/02/25","2010/03/08","통신장비","500","74574394",,
"708","056850","코어비트","KOSDAQ","주권","보통주","2001/12/20","2010/03/09","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정","2010/02/25","2010/03/08","정보기기","500","30080988",,
"709","078700","신지소프트","KOSDAQ","주권","보통주","2004/10/29","2010/02/27","시가총액 40억원 미달","2010/02/18","2010/02/26","소프트웨어","500","4363506",,
"710","031960","동산진흥","KOSDAQ","주권","보통주","1996/12/23","2010/02/20","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정","2010/02/10","2010/02/19","섬유·의류","500","29748331",,
"711","067950","티이씨","KOSDAQ","주권","보통주","2004/01/26","2010/02/20","당해 코스닥시장상장법인의 계속성 및 경영의 투명성 등을 종합적으로 고려한 결과 상장폐지기준에 해당한다고 결정","2010/02/10","2010/02/19","기계·장비","500","26535970",,
"712","045400","이롬텍","KOSDAQ","주권","보통주","2001/08/17","2010/02/11","정기보고서 미제출로 관리종목 지정후 법정제출기한내 사업보고서 미제출, 2회 연속 정기주주총회 미개최 또는 재무제표 미승인, 자본전액잠식 ","2010/02/02","2010/02/10","IT부품","500","7751337",,
"713","037830","글로포스트","KOSDAQ","주권","보통주","2002/02/05","2010/02/09","기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정","2010/01/29","2010/02/08","금속","500","39792284",,
"714","080140","디보스","KOSDAQ","주권","보통주","2005/05/27","2010/02/02","자본잠식률 50%이상사유로 관리종목지정후 반기 감사의견 부적정","2010/01/29","2010/02/01","통신장비","500","5039871",,
"715","047940","비엔디","KOSDAQ","주권","보통주","2001/06/21","2010/01/29","당해 코스닥시장상장법인의 계속성 및 경영의 투명성 등을 종합적으로 고려한 결과 상장폐지기준에 해당한다고 결정","2010/01/20","2010/01/28","음식료·담배","500","2910085",,
"716","037510","굿라이프10-MF","KOSDAQ","투자회사","보통주","2000/02/25","2010/01/26","자본시장과금융투자업에관한법률 제202조제1항에 의한 해산사유에 해당하는 경우",,,"금융","무액면","750800",,
"717","083120","동북아9호","KOSPI","선박투자회사","보통주","2005/05/27","2010/01/20","신청에 의한 상장폐지",,,"서비스업","5000","1259690",,
"718","000610","제일화재","KOSPI","주권","보통주","1976/06/05","2010/01/20","해산 사유 발생",,,"보험","5000","26774374",,
"719","015940","LG데이콤","KOSPI","주권","보통주","1993/01/30","2010/01/15","해산 사유 발생",,,"통신업","5000","83287151",,
"720","045820","LG파워콤","KOSPI","주권","보통주","2008/11/27","2010/01/15","해산 사유 발생",,,"통신업","5000","133400000",,
