번호,종목코드,종목명,시장구분,증권구분,주식종류,상장일,폐지일,폐지사유,정리매매기간_시작일,정리매매기간_종료일,업종,액면가,상장주식수,이전상장후_종목코드,이전상장후_종목명
"142","246830","시냅스엠","KONEX","주권","보통주","2016/07/13","2018/05/14","감사의견 거절(계속기업 존속능력에 대한 불확실성)","2018/05/02","2018/05/11","-","500","1311610",,
"143","013367","일성건설2우B","KOSPI","주권","신형우선주","2007/06/29","2018/05/11","존속기간 만료",,,"건설업","500","621240","013360","일성건설"
"144","235090","태경피엔에스","KONEX","주권","보통주","2016/03/16","2018/05/09","감사의견 거절(감사범위 제한)","2018/04/26","2018/05/08","-","500","23205369",,
"145","087220","스틸플라워","KOSDAQ","주권","보통주","2009/10/27","2018/05/08","감사의견거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)","2018/04/25","2018/05/04","금속","500","72172928",,
"146","099830","씨그널엔터테인먼트그룹","KOSDAQ","주권","보통주","2011/01/24","2018/05/04","감사의견거절(감사범위 제한)","2018/04/24","2018/05/03","오락·문화","500","11633845",,
"147","252940","에스엠로보틱스","KONEX","주권","보통주","2016/09/30","2018/04/25","감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)","2018/04/16","2018/04/24","-","500","2075000",,
"148","091270","유디피","KONEX","주권","보통주","2014/12/12","2018/04/18","지정자문인 선임계약 해지 후 30일이내 미체결(2018.04.04限)","2018/04/09","2018/04/17","-","500","7338254",,
"149","221200","유진스팩3호","KOSDAQ","주권","보통주","2015/09/09","2018/04/17","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2018/04/06","2018/04/16","금융","100","6750000",,
"150","223040","교보5호스팩","KOSDAQ","주권","보통주","2015/08/27","2018/03/30","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2018/03/21","2018/03/29","금융","100","5430000",,
"151","221950","케이비드림3호스팩","KOSDAQ","주권","보통주","2015/08/21","2018/03/30","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2018/03/21","2018/03/29","금융","100","6815000",,
"152","199870","세기리텍","KONEX","주권","보통주","2015/12/24","2018/03/28","지정자문인 선임계약 해지후 30일이내 미체결(18.3.14限)","2018/03/19","2018/03/27","-","500","9803030",,
"153","008000","도레이케미칼","KOSPI","주권","보통주","1977/06/30","2018/03/20","지주회사(최대주주등)의 완전자회사화 등",,,"화학","5000","46363851",,
"154","051170","썬코어","KOSDAQ","주권","보통주","2001/10/23","2018/03/15","'16사업연도 감사의견거절(계속기업 존속능력에 대한 불확실성) 및 '17사업연도 반기 감사의견거절(계속기업 존속능력에 대한 불확실성)","2018/03/06","2018/03/14","기계·장비","500","38868605",,
"155","222390","케이비제8호스팩","KOSDAQ","주권","보통주","2015/08/05","2018/03/13","상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소","2018/03/02","2018/03/12","금융","100","10310000",,
"156","039790","위노바","KOSDAQ","주권","보통주","2000/07/25","2018/03/09","기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정","2018/02/27","2018/03/08","화학","500","78610739",,
